besar(se)	to kiss
dar(se) la mano	to shake hands
despedirse (e-i) (de)	to say good-bye (to)
los modales	manners
saludar(se)	to greet
sonreír (e-í)	to smile
el/la bebé	baby
contar (o-ue) (chistes)	to tell (jokes)
llevarse bien/mal	to get along well/badly
llorar	to cry
los mayores	grown-ups
los parientes	relatives
reírse (e-í)	to laugh
reunirse (u-ú)	to meet
alrededor de	around
el aniversario	anniversary
casarse (con)	to get married (to)
charlar	to chat
la costumbre	custom
cumplir años	to have a birthday
el desfile	parade
el día festivo	holiday
divertirse (e-ie)	to have fun
enorme	enormous
¡Felicidades!	Congratulations!
felicitar	to congratulate
la fiesta de sorpresa	surprise party
los fuegos artificiales	fireworks
hacer un picnic	to have a picnic
nacer	to be born
regalar	to give (a gift)
la reunión (pl. las reuniones)	gathering
antiguo/a	old, antique
frecuentemente	frequently
había	there was/there were
mientras (que)	while
recordar (o-ue)	to remember
abrazar(se)	to hug
