"<h2>emphatically</h2><a href=""https://www.vocabulary.com/dictionary/emphatically"">vocabulary</a>"^without question and beyond doubt <br><br> <div class="example">You will therefore permit me to repeat,  <strong>emphatically</strong>, that Marley was as dead as a door-nail.</div>  
"<h2>covetous</h2><a href=""https://www.vocabulary.com/dictionary/covetous"">vocabulary</a>"^immoderately desirous of acquiring something <br><br> <div class="example">But he was a tight-fisted hand at the grindstone, Scrooge: a squeezing, wrenching, grasping, scraping, clutching,  <strong>covetous</strong> old sinner!</div>  
"<h2>palpable</h2><a href=""https://www.membean.com/mywords/palpable"">membean</a> <a href=""https://www.vocabulary.com/dictionary/palpable"">vocabulary</a>"^capable of being perceived <br><br> <div class="example">The city clocks had only just gone three, but it was quite dark already -- it had not been light all day -- and candles were flaring in the windows of the neighboring offices, like ruddy smears upon the  <strong>palpable</strong> brown air.</div>  
"<h2>intimation</h2><a href=""https://www.vocabulary.com/dictionary/intimation"">vocabulary</a>"^a slight suggestion or vague understanding <br><br> <div class="example">It was the voice of Scrooge's nephew, who came upon him so quickly that this was the first  <strong>intimation</strong> he had of his approach.</div>  
"<h2>indignant</h2><a href=""https://www.membean.com/mywords/indignant"">membean</a> <a href=""https://www.vocabulary.com/dictionary/indignant"">vocabulary</a>"^angered at something unjust or wrong <br><br> <div class="example">If I could work my will,' said Scrooge indignantly, 'every idiot who goes about with 'Merry Christmas' on his lips, should be boiled with his own pudding, and buried with a stake of holly through his heart.'</div>  
"<h2>derive</h2><a href=""https://www.vocabulary.com/dictionary/derive"">vocabulary</a>"^obtain <br><br> <div class="example">'There are many things from which I might have  <strong>derived</strong> good, by which I have not profited, I dare say,' returned the nephew.</div>  
"<h2>impropriety</h2><a href=""https://www.vocabulary.com/dictionary/impropriety"">vocabulary</a>"^a wrong or indecent act <br><br> <div class="example">Becoming immediately sensible of the  <strong>impropriety</strong>, he poked the fire, and extinguished the last frail spark forever.</div>  
"<h2>homage</h2><a href=""https://www.membean.com/mywords/homage"">membean</a> <a href=""https://www.vocabulary.com/dictionary/homage"">vocabulary</a>"^respectful deference <br><br> <div class="example">But I have made the trial in  <strong>homage</strong> to Christmas, and I'll keep my Christmas humor to the last.</div>  
"<h2>destitute</h2><a href=""https://www.membean.com/mywords/destitute"">membean</a> <a href=""https://www.vocabulary.com/dictionary/destitute"">vocabulary</a>"^poor enough to need help from others <br><br> <div class="example">'At this festive season of the year, Mr Scrooge,' said the gentleman, taking up a pen, 'it is more than usually desirable that we should make some slight provision for the Poor and  <strong>destitute</strong>, who suffer greatly at the present time.</div>  
"<h2>facetious</h2><a href=""https://www.membean.com/mywords/facetious"">membean</a> <a href=""https://www.vocabulary.com/dictionary/facetious"">vocabulary</a>"^cleverly amusing in tone <br><br> <div class="example">Scrooge resumed his labors with an improved opinion of himself, and in a more  <strong>facetious</strong> temper than was usual with him.</div>  
"<h2>proffer</h2><a href=""https://www.membean.com/mywords/proffer"">membean</a> <a href=""https://www.vocabulary.com/dictionary/proffer"">vocabulary</a>"^present for acceptance or rejection <br><br> <div class="example">Meanwhile the fog and darkness thickened so, that people ran about with flaring links,  <strong>proffering</strong> their services to go before horses in carriages, and conduct them on their way.</div>  
"<h2>tacitly</h2><a href=""https://www.vocabulary.com/dictionary/tacitly"">vocabulary</a>"^by unexpressed agreement <br><br> <div class="example">With an ill-will Scrooge dismounted from his stool, and  <strong>tacitly</strong> admitted the fact to the expectant clerk in the Tank, who instantly snuffed his candle out, and put on his hat.</div>  
"<h2>melancholy</h2><a href=""https://www.membean.com/mywords/melancholy"">membean</a> <a href=""https://www.vocabulary.com/dictionary/melancholy"">vocabulary</a>"^grave or even gloomy in character <br><br> <div class="example">Scrooge took his  <strong>melancholy</strong> dinner in his usual  <strong>melancholy</strong> tavern; and having read all the newspapers, and beguiled the rest of the evening with his banker's-book, went home to bed.</div>  
"<h2>inexplicable</h2><a href=""https://www.vocabulary.com/dictionary/inexplicable"">vocabulary</a>"^incapable of being explained or accounted for <br><br> <div class="example">It was with great astonishment, and with a strange,  <strong>inexplicable</strong> dread, that as he looked, he saw this bell begin to swing.</div>  
"<h2>incredulous</h2><a href=""https://www.vocabulary.com/dictionary/incredulous"">vocabulary</a>"^not disposed or willing to believe; unbelieving <br><br> <div class="example">Though he looked the phantom through and through, and saw it standing before him; though he felt the chilling influence of its death-cold eyes; and marked the very texture of the folded kerchief bound about its head and chin, which wrapper he had not observed before; he was still  <strong>incredulous</strong>, and fought against his senses.</div>  
"<h2>waggish</h2><a href=""https://www.vocabulary.com/dictionary/waggish"">vocabulary</a>"^witty or joking <br><br> <div class="example">Scrooge was not much in the habit of cracking jokes, nor did he feel, in his heart, by any means  <strong>waggish</strong> then.</div>  
"<h2>specter</h2><a href=""https://www.vocabulary.com/dictionary/specter"">vocabulary</a>"^a ghostly appearing figure <br><br> <div class="example">The truth is, that he tried to be smart, as a means of distracting his own attention, and keeping down his terror; for the spectre's voice disturbed the very marrow in his bones.</div>  
"<h2>infernal</h2><a href=""https://www.vocabulary.com/dictionary/infernal"">vocabulary</a>"^characteristic of an uncontrolled and intense fire <br><br> <div class="example">There was something very awful, too, in the spectre's being provided with an  <strong>infernal</strong> atmosphere of its own.</div>  
